<br><font color=yellow>*Lera(Bailey42) sat alone on a tree branch, samehada resting lazily across her legs. She had a good vantage point from up here, she could keep her eye on the skies and the ground; just in case something decided she looked a little tasty. Every now and then she'd glance down at Samehada fondly. Even though it was fully co-operative with her, she couldn't help but like it. It was surprisingly affectionate, at least as long as you continued to provide it with chakra anyway; which she did in bucket loads.

Ever so gently, she rubbed her hand down the blades edge; being careful not to catch her hands on the sharp scales. It still continued to suck away at her chakra, if it weren't for her exceptionally large pools; she would have run dry a long time ago. It was a wonder it was still going, it did stop every now and then; but surely there would come a point where it was well and truly full. Either way, until she truly mastered the weapon; using it in a real life and death battle would be risky.

With a sigh, she gripped Samehada's hilt and dropped from the tree; landing gracefully on the forest floor. The area was mostly clear, besides a few forest critters but they generally just left her alone. She wagered she'd traveled a good majority of the forest now, but had yet to come across a beast on the same level as the one Marissa had been fighting. She was starting to get the feeling that she'd gotten everything possible out of surviving here, it was more or less time to leave.

All she had to do was make her way to Fujitora's base and wait for him, though that was easier said than done. She reckoned she'd come pretty close to the base a number of times, but had always turned herself away so as to extend her stay for as long as possible. Despite that, things were starting to get very samey, she'd defeated most creatures with relative ease, a few had given her a little trouble; but she'd yet to sustain even a scratch. So with a yawn, she trailled off into the forest, towards Fujitora's base.
* - Sun Nov  1 14:47:02 2015
<br><br><font color=yellow>*Lera(Bailey42) was found perched on a paticularly large tree branch, with Samehada resting in her lap.* - Sun Nov  1 18:03:18 2015
<br><br><font color=teal>*Index(Jjking217) says: Hello...Lera. - Sun Nov  1 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  1 18:32:19 2015
<br><br><font color=yellow>*Lera(Bailey42) jumped off the tree, landing lightly on her feet a few feet away from Index.

"Another vision from the labyrinth...? You're not real are you?"* - Sun Nov  1 18:33:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Holy crap. You're literally the first human I've seen in over a month - Sun Nov  1 18:34:52 2015
<br><br><font color=teal>*Index(Jjking217) says: ....You've...Been in here...For a month? - Sun Nov  1 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Give or take. I lost count - Sun Nov  1 18:34:52 2015
<br><br><font color=teal>*Index(Jjking217) says: It's hard...To believe. - Sun Nov  1 18:34:52 2015
<br><br><font color=teal>*Index(Jjking217) says: You're really something else. - Sun Nov  1 18:35:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: I've been training here. - Sun Nov  1 18:35:44 2015
<br><br><font color=teal>*Index(Jjking217) says: I would've went insane a long time ago. - Sun Nov  1 18:35:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: *shrug* I had Jenna to talk to - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: And Samehada for company. - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Jenna? - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Samehade? - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mhm. - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: Jenna is my summon - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: And Samehada is my sword - Sun Nov  1 18:36:35 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sun Nov  1 18:37:26 2015
<br><br><font color=teal>*Index(Jjking217) says: I came here. - Sun Nov  1 18:37:26 2015
<br><br><font color=teal>*Index(Jjking217) says: To clear my mind... - Sun Nov  1 18:37:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe for a distraction. - Sun Nov  1 18:37:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: And odd place to clear your mind. - Sun Nov  1 18:37:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Considering all the monsters and wild animals. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: When I'm fighting.. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: I feel calm. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: It's weird. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: Have you ever. - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: Contemplated....Killing a man? - Sun Nov  1 18:38:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: Contemplated? I've done it. - Sun Nov  1 18:39:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: Why, You after revenge or something? - Sun Nov  1 18:39:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I've killed before. - Sun Nov  1 18:39:08 2015
<br><br><font color=teal>*Index(Jjking217) says: But yeah, Revenge. - Sun Nov  1 18:39:08 2015
