<br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice Cake anyone? - Wed Oct  7 07:51:02 2015
<br><br><font color=teal>*Reguel(Airide) says: I'll take it - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Reguel(Airide) says: I am a visitor. - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Would you like a Meat pie as well? - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Reguel(Airide) says: I don't mind. - Wed Oct  7 07:51:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: 20 Pounder, 20 yen. - Wed Oct  7 07:52:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Great! - Wed Oct  7 07:52:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I just... touched him.... - Wed Oct  7 07:53:36 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) raised both his hands in preparation for the shunshin technique, now. Originally, he was going to leave, but seeing as how Violet didn't even apologize, he had to make shit a bit more interesting. Performing the technique he would appear at her back, the fact that she turned her flank to him made it all the more satisfying. 

He'd grasp onto the woman's hair and pull her in close so that he could whisper into her ear. But only if caught aloud. * - Wed Oct  7 07:55:18 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: . . . . . - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Threatening! - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll take my leave then. - Wed Oct  7 23:10:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The hell is going on?.. - Wed Oct  7 23:12:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Wed Oct  7 23:17:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hello. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Where is Violet. - Wed Oct  7 23:22:01 2015
<br><br><font color=teal>*Ai(Sennalove) says: No idea who that is? - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'unno either. - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: The orange haired girl with the swords. - Wed Oct  7 23:23:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Who...... - Wed Oct  7 23:24:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Don't worry about it. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If you're ignorant, you're ignorant. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You have wings. - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So. .  Nobody is going to talk about the fact that this woman has like, no shirt on? - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'm not surprised that you are here of all places. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Screw my dirty magazines, don't need them now. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yeah, I tried to kill Yan. He ran. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Now I have to kill Violet. - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Always have a list to go through, huh? - Wed Oct  7 23:36:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I really do. - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I know that voice, and I am not happy to hear it. - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Plan on staying long? - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Would you like me to give him a ride too or such, Suitengu? - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: A little longer. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Probably till the day's end. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I see Taiga is still alive. - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . .Y-Yo. - Wed Oct  7 23:39:05 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So what are we doing. - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: He lives or dies? - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Eh? - Wed Oct  7 23:39:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why, would he ask you that Suitengu? - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Oh. Awkward. - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Guess he has to die now. - Wed Oct  7 23:40:48 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Hmm. . .I think this is fine. . .The mesh makes it so you see nothing. - Wed Oct  7 23:49:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Right. . - Wed Oct  7 23:51:02 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well, I know what I'm going to use tonight. - Wed Oct  7 23:51:02 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) stands with his hands in his pocket. "Welp."* - Wed Oct  7 23:57:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hmm. - Thu Oct  8 00:24:19 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'd run. - Thu Oct  8 00:24:19 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Or fly. - Thu Oct  8 00:24:19 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) seeing as Hassan and Yan had made a rather appropriate entrace seeing as one of their comrades had just been murdered in cold blood. "I have shit to do with this." He thought to himself, performing a single seal as Muhammad summoned his wind armor. Within seconds he'd disappear, making numerous "jumps" as he made his way out of the village. 

In regards to the man who held murder wreck with him, he was pretty much done with Yan at this point. He ran from death mid battle, so he didn't have much to offer the shinobi at this point. * - Thu Oct  8 00:47:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Thu Oct  8 00:54:11 2015
