<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh? - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Man... I feel like -shit-. - Tue Dec  1 09:06:33 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) chuckled, "you do? I couldn't tell.~" He gives her hand one last squeeze before moving it. He changes his position a bit so he too was leaning back first against the wall.* - Tue Dec  1 09:10:49 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded, "yeah." He slyly scoots away a bit, putting more space between them. "Anytime.."* - Tue Dec  1 09:13:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Tue Dec  1 09:15:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Why is he moving away? - Tue Dec  1 09:15:56 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) yawns a bit. "Warn me next time you decide to get sick, alright?"* - Tue Dec  1 09:18:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...why? - Tue Dec  1 09:19:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Not like I can know... - Tue Dec  1 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Why do I have to get a heartattack worrying about you? - Tue Dec  1 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: One of us have to be well enough to get you some help.; - Tue Dec  1 09:20:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Tue Dec  1 09:21:04 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) caught glimpse of her head lowering and smirk formed on his face.* - Tue Dec  1 09:23:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: So I'm going to take it that your mission is going well? - Tue Dec  1 09:23:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Tue Dec  1 09:23:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: They think of me as family now. - Tue Dec  1 09:23:37 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Wow.. that progress. - Tue Dec  1 09:24:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not hard for me. - Tue Dec  1 09:24:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Eh, shouldn't expect less from you- - Tue Dec  1 09:25:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmph. Kind've like your lack of modesty. - Tue Dec  1 09:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh yeah? - Tue Dec  1 09:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you like it when I'm saying how easily I kicked your ass? - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: That's more.. blunt honesty. - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: 'Easy'...right. - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. honestly? - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Took you six arms. - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...so? - Tue Dec  1 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You got your arrows, I got my arms. - Tue Dec  1 09:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I gave you a head start technically. - Tue Dec  1 09:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Antidote and all. - Tue Dec  1 09:27:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Plus I used your own weapon against you. - Tue Dec  1 09:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: --- - Tue Dec  1 09:27:02 2015
