<br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Are you ok? - Sun Sep 13 02:35:56 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: yea... Im good... - Sun Sep 13 02:36:48 2015
<br><br><font color=yellow>*Taiki, Kuroda(Kuroda Taiki) notices the man's casy and asks him."What happened guy?"* - Sun Sep 13 02:37:39 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: I got punished by Niza... - Sun Sep 13 02:39:21 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Who is that? - Sun Sep 13 02:39:21 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: The Raikage - Sun Sep 13 02:39:21 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: The what? - Sun Sep 13 02:39:21 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: The leader of Kumogakure? - Sun Sep 13 02:41:04 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: What? - Sun Sep 13 02:41:04 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: The person in charge? - Sun Sep 13 02:41:55 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: What is that Kumo thingy? - Sun Sep 13 02:41:55 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: I'm confused. - Sun Sep 13 02:41:55 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Kumogakure... the village of Kumo, the Village hidden in the clouds - Sun Sep 13 02:42:46 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: In the couds? - Sun Sep 13 02:43:37 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: VIage hidden in the clouds? - Sun Sep 13 02:43:37 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: This makes no sense - Sun Sep 13 02:43:37 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Its a play on words... - Sun Sep 13 02:44:28 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: +Ok soo....Niza, the Raikage or the leader of the Village Hidden in the Clouds and Kumogakure punished you? - Sun Sep 13 02:47:53 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Yea - Sun Sep 13 02:47:53 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Ok.... - Sun Sep 13 02:48:44 2015
<br><br><font color=yellow>*Taiki, Kuroda(Kuroda Taiki) becomes relieved due to his new found understanding of the situation.* - Sun Sep 13 02:49:36 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: *sighed - Sun Sep 13 02:49:36 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: So what are you doing now? - Sun Sep 13 02:51:18 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Are you guarding? - Sun Sep 13 02:52:09 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Also does this mean we live in Kumogakure? - Sun Sep 13 02:52:09 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Im about to train a little... but i cant do much becasue of my hand - Sun Sep 13 02:52:09 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: We and currently living in Kono at the moment - Sun Sep 13 02:52:09 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Komo? - Sun Sep 13 02:53:00 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Kono... Konohagakure... the village hidden in the leaves... this place - Sun Sep 13 02:53:00 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) thinks: Kids annoying - Sun Sep 13 02:53:52 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: So what was the leader of Cloud doing here? - Sun Sep 13 02:53:52 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Because he runs this place too we took it over - Sun Sep 13 02:54:43 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Wait what? - Sun Sep 13 02:54:43 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: He is in charge of this village? - Sun Sep 13 02:54:43 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Why? - Sun Sep 13 02:54:43 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: We captured it from Zetsumo - Sun Sep 13 02:55:34 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Wait we? - Sun Sep 13 02:56:25 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Also what is Zetsumo? - Sun Sep 13 02:57:16 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: A evil guy... and yes we... the combined forces of Suna, Kumo and Kono - Sun Sep 13 02:57:16 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: So who is the leadr of this village? - Sun Sep 13 02:58:59 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Niza, the Raikage  - Sun Sep 13 03:00:41 2015
<br><br><font color=yellow>*Taiki, Kuroda(Kuroda Taiki) becomes very confused.* - Sun Sep 13 03:00:41 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: So every Raikage owns Kumogakure and Konohagakure? - Sun Sep 13 03:01:32 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: No - Sun Sep 13 03:02:24 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Niza just owns this village because it was abanded - Sun Sep 13 03:02:24 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: So who is supposed to own this village? - Sun Sep 13 03:03:15 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Or lead it? - Sun Sep 13 03:03:15 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: The Hokage but they currenty dont have one - Sun Sep 13 03:03:15 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Can I be "Hokage"? - Sun Sep 13 03:04:06 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Nope - Sun Sep 13 03:04:57 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Why? - Sun Sep 13 03:05:48 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Your not old or strong enough - Sun Sep 13 03:10:56 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Oh. - Sun Sep 13 03:12:38 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: What if I get really strong but i'm young? - Sun Sep 13 03:13:29 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Then you could possible take over - Sun Sep 13 03:13:29 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Ok...well how do I get strong. - Sun Sep 13 03:14:20 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Train... fight... - Sun Sep 13 03:15:12 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Oh ...ok. - Sun Sep 13 03:16:54 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: What do I train? - Sun Sep 13 03:17:45 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: What ever works for you... jutsu... body wise... what ever - Sun Sep 13 03:17:45 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Jutsu? - Sun Sep 13 03:19:28 2015
<br><br><font color=teal>*Taiki, Kuroda(Kuroda Taiki) says: Is there someplace where I can learn all this? - Sun Sep 13 03:20:19 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Anywhere - Sun Sep 13 03:38:14 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: Anyone can teach you  - Sun Sep 13 03:39:05 2015
<br><br><font color=teal>*Mancer, Keyshawn(Ninjagangster90210) says: You just need to get taught or get it from a scroll? - Sun Sep 13 03:39:05 2015
<br><br><font color=teal>*Fukushu, Angetsu(Rich The Kid) says: Boy. - Sun Sep 13 10:19:18 2015
