<br><font color=teal>*Ortho(DhatBoiNick) says: Until I claim the life of Lera. - Wed Nov  4 23:41:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That being said, what protection is provided to Katsune by you.. - Wed Nov  4 23:42:30 2015
<br><br><font color=teal>*Index(Jjking217) says: ... - Wed Nov  4 23:42:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Is provided by me as well. - Wed Nov  4 23:42:30 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho. - Wed Nov  4 23:42:30 2015
<br><br><font color=teal>*Index(Jjking217) says: I think of you as a brother, But I really hate this beating around the bush. - Wed Nov  4 23:43:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I told you exactly what I had to say. - Wed Nov  4 23:43:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The protection YOU provide Katsune. - Wed Nov  4 23:43:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Is the SAME protection I wish to provide her. - Wed Nov  4 23:43:21 2015
<br><br><font color=teal>*Index(Jjking217) says: That doesn't explain. - Wed Nov  4 23:43:21 2015
<br><br><font color=teal>*Index(Jjking217) says: Why you wished to know her location, for 'Marissa'. - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Index(Jjking217) says: You said this is between them. - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Rather hinted at it. - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Common enemies. - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This is too beyond me. - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Marissa is your enemy? - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..More or less. - Wed Nov  4 23:44:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She has some use in some ways. - Wed Nov  4 23:45:04 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: But Marrisa defended him? Why is she his enemy? - Wed Nov  4 23:45:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I find that hard to believe Ortho, The heart does not easily transition. - Wed Nov  4 23:45:04 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: She is teaching me. - Wed Nov  4 23:45:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It is when the heart breaks and is force to repair itself. - Wed Nov  4 23:45:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: It transitions pretty easily when I'm taking them out of people's chest. - Wed Nov  4 23:45:04 2015
<br><br><font color=teal>*Index(Jjking217) says: That break will leave you all the more vulnerable Ortho. - Wed Nov  4 23:45:55 2015
<br><br><font color=teal>*Index(Jjking217) says: For one well placed Arrow to the chest. - Wed Nov  4 23:45:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You don't have to worry about her protection. - Wed Nov  4 23:45:55 2015
<br><br><font color=teal>*Index(Jjking217) says: No one will find her. - Wed Nov  4 23:45:55 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Events in my life made me come to such decisions. Nevertheless, Katsune's wellbeing is vital to my next chain of actions. - Wed Nov  4 23:49:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If you assure her safety, then I won't press the matter. - Wed Nov  4 23:49:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Do not put her in any unnecessary Danger Ortho. - Wed Nov  4 23:49:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I won't be able to forgive you if you do. - Wed Nov  4 23:49:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I can't put her in danger if I don't know where she is. - Wed Nov  4 23:49:20 2015
<br><br><font color=teal>*Index(Jjking217) says: But you can definately taint her reputation further. - Wed Nov  4 23:50:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nina. - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Want to go for a walk with me? - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm a bit sick of hearing these two talk. - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why would I do that? - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Stubborn girl. - Wed Nov  4 23:51:02 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just humor me. - Wed Nov  4 23:51:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..What an eye opener this meeting has come to be. - Wed Nov  4 23:53:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No? - Wed Nov  4 23:53:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No thank you. Not in a walking mood. - Wed Nov  4 23:53:36 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Nina. . .it's important. - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then say it here. - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Stupid girl. - Wed Nov  4 23:54:27 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nevermind then,. - Wed Nov  4 23:55:18 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: That explains a lot. - Wed Nov  4 23:57:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Wed Nov  4 23:58:43 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: Makes no sense for me, but it's a nice sentiment. - Thu Nov  5 00:04:41 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: She's nice....she reads to me. Hmph. - Thu Nov  5 00:08:57 2015
<br><br><font color=teal>*Index(Jjking217) says: ... - Thu Nov  5 00:15:47 2015
<br><br><font color=teal>*Index(Jjking217) says: contemplating* - Thu Nov  5 00:17:29 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: She never stops... - Thu Nov  5 00:17:29 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: Why? - Thu Nov  5 00:18:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This is why I wanted to go on a walk. . . - Thu Nov  5 00:19:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: No one ever thinks to listen to the fodder. - Thu Nov  5 00:19:12 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Raising an eyebrow at her he'd shrug. "Alright I guess." saying such he'd throw his hands into his pockets and walk off after her, throwing glances back to Ortho as he never got to finish that conversation about Kirigakure.* - Thu Nov  5 00:23:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Thu Nov  5 00:24:19 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: There he goes thinking I'm fodder again.  - Thu Nov  5 00:25:10 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Leaving again? Big surprise. - Thu Nov  5 00:25:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Moving on so soon Ortho-kun? - Thu Nov  5 00:25:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Watch your mouth, Index.. - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Boundaries are still existent. - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: Oh. - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Deez nuts are still existent -omit- - Thu Nov  5 00:28:35 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho, If I cared for boundaries, I'd be long dead. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..tch.. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Boredom would've killed me. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Index(Jjking217) says: / - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I have a vilalge to destroy. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll be back. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: Wait...what? - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Index(Jjking217) says: Don't die. - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: I thought? - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Which one this time? - Thu Nov  5 00:29:26 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The one that I didn't finish.. - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho. - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: He said he was coming with us. - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I had a talk with you about this once already. . . - Thu Nov  5 00:30:17 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) thinks: That's cute, the fodder thinks the people with power care what he thinks. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Thaenan.. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It was made apparent. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*** Peasant Girl **(TenaciousRiven) says: omit- - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going back to sleep. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You can have the village when I am done.. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nina. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I need to talk to you first. - Thu Nov  5 00:31:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: About what, Thaenan. - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll take care of our Ume-chan while you're gone~. - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A few different things. - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Index(Jjking217) says: *In an joking manner* - Thu Nov  5 00:32:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Come and tell me. - Thu Nov  5 00:32:00 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Walks off a bit, "Follow me."* - Thu Nov  5 00:32:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm going to tell you the less angering thing first. - Thu Nov  5 00:33:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I plan to take ahold of Kirigakure and lead it myself once I have the strength. I want you to come back once this happens. - Thu Nov  5 00:34:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm, congratulations about that? I guess? - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .That wasn't the important news really. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just a side note. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Now. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: For the important part. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Find Lera. - Thu Nov  5 00:35:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Tell her to lay low. - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Last I heard she went to Suna. - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ......Why. - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Ortho is looking for her. . .he claims he 'isn't done.' - Thu Nov  5 00:36:16 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .......... - Thu Nov  5 00:36:16 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Seeing as she was trying to go by, he'd do as he had before. Quickly shooting threads out of his body he'd attempt to wrap them around her and stop her advance, "Stop being a fool. If you confront him on it now I can't keep supplying you with information, he'll know I said it."* - Thu Nov  5 00:38:49 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) simply follows, having been stopped.* - Thu Nov  5 00:40:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Go to Kirigakure right now. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: If it makes you feel better. . . - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Make sure Lera stays alive. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She is in Suna. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: He doesn't know this yet. - Thu Nov  5 00:41:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He better not find out either. - Thu Nov  5 00:42:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . . - Thu Nov  5 00:42:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Don't get mad at me. - Thu Nov  5 00:42:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm trying to help you. - Thu Nov  5 00:43:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going to get mad at you. You tried to -stop- me. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To save your own skin. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Wrong. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Right. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I tried to stop you from doing something stupid. - Thu Nov  5 00:44:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You know you can't beat him right now. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No, no you're not. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: That's why you said. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He'll know I said it. - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: To save your own ass. - Thu Nov  5 00:45:39 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Shaking his head he'd simply sigh, "You know. I'm trying to help. But if this is how you're going to act I'll be on my way." saying himself, he'd put his hands back into his pockets, walking off to the east.* - Thu Nov  5 00:46:30 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .I'll find you later, when we've both cooled off. - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't count on it. - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 00:47:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: If you leave, there isn't any coming back. - Thu Nov  5 00:48:12 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing, and turning back he'd say, "What do you want from me then? I'm doing my best."* - Thu Nov  5 00:48:12 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Looking to her, as she had made the comment about if he left there wouldn't be any coming back, he'd sigh, again having his hands placed into his pockets, "What do you want me to do them? I'm doing my best."* - Thu Nov  5 01:19:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: We can spar. And we can try to vent our pain. - Thu Nov  5 01:21:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But trust me, it'll hurt you. - Thu Nov  5 01:21:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Like hell. - Thu Nov  5 01:21:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That's what I'm used to. - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just, please refrain from kill me if you would. - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Death and I don't sit well together. - Thu Nov  5 01:22:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't care for killing you, you'll be useful. - Thu Nov  5 01:23:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Thu Nov  5 01:24:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: So I'm just a tool? I see. - Thu Nov  5 01:24:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So that's what you think of me? - Thu Nov  5 01:24:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: After all that has happened, I think differently about a lot of things. - Thu Nov  5 01:24:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I've been thought of as a lot of things. - Thu Nov  5 01:24:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: A tool isn't one I like. - Thu Nov  5 01:24:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Prove you're something else then, like I am. - Thu Nov  5 01:25:45 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing a bit more, pulling one hand out of his jacket to rest on his neck he'd say, "Sorry to disapoint, but I'm no where near you. I wasn't exactly looked on as 'something' to train."* - Thu Nov  5 01:26:36 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Shaking his head a bit he'd simply respond, "I see no point in fighting a battle so weighted to one side that it will yield no progress for me." saying such, he'd move to return his hand to his jacket, looking to her with a rather blank face. He wasn't one to purposely walk into a slaughter.* - Thu Nov  5 01:30:52 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Looking to her now he'd simply sit where he was, not wanting to say anything, or move any closer being he was afraid of some sort of backlash from her if he did, "I will make a deal with you though. Promise not to use your blade. . .or jutsu, and I'll train with you. I lack either of those. I simply have my threads."* - Thu Nov  5 01:34:17 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing a bit he'd chuckle and say, "What is this? A divorce? We're both trying to talk each other out of something." chuckling a bit more he'd finally straighten up, saying, "I'm fine with that, but I'm still unsure how much of a challenge I'll be for you."* - Thu Nov  5 01:36:00 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Hearing her words, he'd almost panic, wanting to fall back to using his threads. Though, being that he had agreed to it, he wouldn't even put up a defense. He figured if he was going to get a beating, he'd not make a fool of himself by throwing up a pathetic defense.* - Thu Nov  5 01:39:24 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) basically outmatched in every aspect now, he'd simply take his beating, not even trying to avoid any of the hits. Basically getting beat to a pulp at this point, he'd be hit with the punch to the stomach, sent back, hitting the ground. At some point in this entire beating, it had come to him that being he couldn't put up a decent fight, that he'd simply let her beat him, and get her anger out of her system, he was somewhat used to it by now.

Being that he had been hit back, he'd slowly stand back to his feet, rubbing his jaw a bit before then going to rub his stomach. In truth, he felt like he was in a rather large amount of pain after all of the hits added up on him, but he wouldn't show it, "What? Is that all you have?" saying such, he'd continue to stand where he had landed.* - Thu Nov  5 01:53:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: As I said before. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Even if I did. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It wouldn't matter. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: The outcome would be the same. - Thu Nov  5 01:57:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It would be better than just sitting around beating on someone. No thank you. - Thu Nov  5 01:57:20 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing a bit he'd shrug, "I'm not going to put up a defense that can't match up to the attack. Nor am I going to attack when I know my attack it outmatched by your defensive abilities."* - Thu Nov  5 01:59:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Okay, then nothing will happen. It's that simple. - Thu Nov  5 01:59:02 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Looking to her again he'd simply say, "Well, I guess I'll make a fool of myself this once." saying such, he'd attempt to make his way forward, not exactly very fast in terms of speed, he'd aim a punch towards Nina's jaw, though, he had second thoughts about hurting her, even if he knew he'd likely be avoided anyway. 

If this worked, he'd simply stop, just wanting to show her that it was mostly pointless for this fight.* - Thu Nov  5 02:04:09 2015
