<br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 07:40:22 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) bit down hard on her blood coated lip and ran her hands up her torso and moaned out at how Eiyu had reacted. "You want to play? I haven't played in -such- a LONG tiiiiime.~ Course if you are bluffing we can still have that nice conversation about a deal?~ It's all up to you tease-kun.~" She had decided he needed a new nickname, after all.. someone -willing- to play with -her-? She was excited.

"I hardly ever get to play... No one wants to play with such an unbreakable doll, perhaps it isn't fun?~" She groaned again and neared the male slowly as she had done so before, it looked like she just wanted to hold onto him again like she was doing before. The clone behind her was entirely ignored.* - Thu Dec  3 07:48:03 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Eiyu. . .Don't do it. - Thu Dec  3 07:48:03 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I swear to go. - Thu Dec  3 07:48:54 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: god* - Thu Dec  3 07:48:54 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) sighed out with irritation that he was stepping back but once he had summoned a creature her eyes widened before she even saw the creature and a very polite and sweet grin came upon her face as the toad stared down to her. The toad would feel something about her that he likely wouldn't communicate at first to Eiyu but would have a type of respect for Yuriko. He would actually be -charmed- by her presence but was still skeptical of her due to what she had done in the presence of Eiyu, him being the contract holder. 

She curstied and then smiled up to the creature. "Oh look, he brought someone else to the tea party, such a handsome guest indeed.~"* - Thu Dec  3 07:58:17 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I only have enough chakra for one jutsu. . . - Thu Dec  3 08:02:33 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: NANI?!?! - Thu Dec  3 08:04:16 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: YOU'RE GOING TO JUST, UNSUMMON HIM?! - Thu Dec  3 08:04:16 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: WHAT THE FUCK! - Thu Dec  3 08:04:16 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: GIVE ME A REASON, NOT TO FUCKING SEND THIS DRAGON HEAD SHAPED FIREBALL. - Thu Dec  3 08:05:07 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: AT YOUR FACE EIYU. - Thu Dec  3 08:05:07 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) sighed out at how Eiyu had gone away and then she pouted out. "No fun... I liked your handsome guest...why did you have to send him away?" She pouted heavily looking as if she was about to cry, her eyes becoming big and puppy dog like as she wiggled her hips back and forth.* - Thu Dec  3 08:05:07 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: WHAT KIND OF SHIT. - Thu Dec  3 08:05:07 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: This girl is weird. - Thu Dec  3 08:06:49 2015
<br><br><font color=teal>*Takuma(Brosis55) says: One moment, she wants to latch onto people, and do weird shit. Next she compliments people. - Thu Dec  3 08:06:49 2015
<br><br><font color=teal>*Takuma(Brosis55) says: omit - Thu Dec  3 08:06:49 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: One moment, she wants to latch onto people, and do weird shit. Next she compliments people. - Thu Dec  3 08:06:49 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) turned to the clone as it tapped her on the shoulder and she clung to the clone but she wasn't an idiot...she knew she couldn't eat the clone and instead was pressing her breasts against his belly and her face against his chest as she shuddered with unhappiness. "I was just trying to make a deal, then he wanted to play? Why did he run away from me?! I thought he wanted to play? No one ever wants to play with me!" She sounded partly hateful and partly saddened.* - Thu Dec  3 08:08:32 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .... - Thu Dec  3 08:09:23 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Is she bi-polar maybe? She was all happy go lucky earlier. . . - Thu Dec  3 08:11:05 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Now she's saddened. - Thu Dec  3 08:11:05 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Raikage. - Thu Dec  3 08:11:56 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) continued to shudder and 'sob' into the clones chest but no tears fell as she held onto the clone as she 'cried'. Lifting her head she looked up to Takuma and felt her bottom lip trembling, "Y-you think? Bu-but I wanted to make a deal with him... W-where did he go? We were gonna play!"* - Thu Dec  3 08:14:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: ..Whatis he talking about? - Thu Dec  3 08:19:37 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: He sounds like an idiot. - Thu Dec  3 08:19:37 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) released Takuma and made her way back to Eiyu again slowly. She seemed -determined- to hold onto the person she was speaking with. The process cycled back to her trying to wrap her arms up and around the back of his neck with her body pressed against his and the dark red blood drying on her neck and breasts, most that had been on her face had been licked off.* - Thu Dec  3 08:21:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Won't you make a deal with me? Or are you going to keep trying to play, Tease-kun? - Thu Dec  3 08:21:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Bingo.~ - Thu Dec  3 08:29:52 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was very aware of her surroundings, how she was aware was completely unknown to the two in front of her but even as she was leaningon Eiyu she pulled away for a split second as chakra built up within her body and then she spat out a large torent of water that completely -obliterated- the fireball and likely the clone. The fireball would sizzle out like a match being blown out and the clone of Takuma would be entirely removed as an issue. 

Humming out she looked back up to Eiyu and stood on her tip toes to inhale deeply and take in the kage's scent. "Where were we, Tease-kun?~" She only had wanted to stop the attack of the fireball, she didn't even know she was going to take out the clone but hey... two birds with one stone and all.

"I would like to make a deal concerning your prisoners who need....disposed of. As you can see, I have quite the appetite.~"* - Thu Dec  3 08:40:57 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was apparently talking to a old piece of stool on the ground... Yeah, poop. She walked over towards Takuma again and looked at his bandaged arm and wrapped her arms around the back of his neck. "Now then... I know you might not like me all that much for what I did but if you and I make a good deal maybe I can fix it for you?~" She hummed lightly and ran a finger along his jawline seductively as she leaned in to her lips being just an inch from his own.* - Thu Dec  3 09:00:35 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) giggled slightly and then spoke up again as she kept her face close to his own so he could smell the blood from his shoulder. "A deal where we discuss a new ...disposal system for your prisoners you normally execute... well course you can execute them but I prefer them -alive-... after all you did get a little...'taste' of my appetite."* - Thu Dec  3 09:04:00 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) bit down on her lip -hard- at what he said and groaned lightly in pleasure. "See, I knew I would like you.~ Such a good idea.~ Now then, do we have a deal? I get your prisoners for execution and I don't eat anymore of people in your lovely mountain village. Hm?~ --oh yes, and I'll fix you up nice and proper.~" She wiggled her hips back and forth as her dress swayed and a light giggle sounded.* - Thu Dec  3 09:08:16 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: If she bites off my shoulder. - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'll only have one good arm left. - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ..eat.. people? - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: About to be the next Izanami. - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: omit - Thu Dec  3 09:12:32 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) licked over her lips. "You promise?~"* - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: What is Yuriko talking about? - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Promise. - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mkays.~ - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo, Eiyu is going to be pissseeedddd. - Thu Dec  3 09:13:23 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) stepped away from him in a chipper mood. "Where can we go so I can fix you up."* - Thu Dec  3 09:13:23 2015
