<br><font color=teal>*Byakuren(Guujin) thinks: Probably. . . - Fri Dec  4 05:46:27 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) "OKAY!" didn't have an issue with this in the slightest, he'd held out his right hand, turning it over where his palm would've been visible if it weren't for his armor.* - Fri Dec  4 05:48:09 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) didn't budge not an inch, behind of his helmet his eyes widened shocked equally of phrase per phrase of the fortune teller's fortune. Though he didn't believe his words, though he invisioned his old self strugling with various issus as Byrakuren said, yet he tried for it not to currupt him. Behind of his helmet he smiled before taking his hands away from Byakuren, and placing his hands at his side.

"NEXT?!" he sounded eager on the outside, but on the inside he wanted to move on, he didn't want to think much of the past.* - Fri Dec  4 06:02:40 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) folded his arms across his chest, he'd cock his head to the side for a moment, simply thinking if he was a resident or considered himself one. Honestly the armored guy didn't but he'd made a deal with the hokage."Ehh.. Not really. Maybe a protector of sorts?" he didn't want to get into that, that was another issue that hadn't need to be ventured into.* - Fri Dec  4 06:26:33 2015
<br><br><font color=teal>*Byakuren(Guujin) says: Oh, is that so? Sounds suiting. Do you enjoy protecting others? - Fri Dec  4 06:31:40 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Well... If I could! Ahaha! But. Don't tell anyone...I'm super weak! - Fri Dec  4 06:35:56 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: This armor scares people off, ahaha! - Fri Dec  4 06:35:56 2015
<br><br><font color=teal>*Byakuren(Guujin) says: Perhaps, but there is more than one way of protecting someone. You've found your own way and that's what matters. - Fri Dec  4 06:40:12 2015
<br><br><font color=teal>*Byakuren(Guujin) says: Besides, strength isn't measure by your physical prowess, but your heart. - Fri Dec  4 06:40:12 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) scratched the side of his helmet, "Greater good you say?.." the armored individual questioned."Probably not.. Its peaceful enough as is." he'd release a yawn thinking about working for the greater good and so on. That was something he'd have wanted in the past, but now all he wanted to do was vanish, live a normal life and thrive in peace.* - Fri Dec  4 06:45:20 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) eyes widened from behind of his helmet, Byakuren's words... It reminded him of someone from a past life."You remind me of someone, he had those same ordeals, but vanished on his village. But YOU'RE RIGHT! Darkness looms everywhere, in every heart. Darkness will always be around, but its up to people like us to notice such darkness and assist the person and guide them elsewhere."

he'd release yet another yawn, "But.. I'd rather make an impact from the shadows." he'd snicker a little about this thought, he'd turned completely around from the man. Attempting to walk away, "Maybe you could catch my attention some other time, or through another method." the chipperness of his voice seemed to have died, his voice was a bit more serious but the same.* - Fri Dec  4 06:58:59 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm... - Fri Dec  4 07:20:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: .... - Sat Dec  5 00:36:16 2015
