<br><font color=yellow>*Bernadotte(Iron Zorro) laughed even more "So the prude did get offendend which is kind of cute, it really brings out your features." he commented as she was pushed against the wall again. Using both of his hands he aimed to push her away "I will talk about what I want, when I want and however I want you understand me? I do not need you telling me what I can or can't do because the only one that can do that is my Lord Lucifer so I would suggest you stop barking noise and start falling into place as you are in the presense of a superior being." 

If he had successfuly manage to push her away he would move foward bringin his right arm up to grab at her neck aiming to push her against the opposite wall of where he had been pushed "Now here is how things will work from here on out. One, I will stop commenting about your graverobbing anticts while we are in public. Two, we are stuck here together so I suggest you stop being the prude you are and start being nicer to me as dictated by my lord. Three, enough of your supperiority complex as we both know that you are nothing more than simple trash compared to a superior being like me." he would lean in closer to her "Is that understood?" he asked her with a harsh tone of voice.* - Tue Sep 29 16:40:57 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) kept his right hand against her neck and was going to let go when he heard her comment that belittled his Lord. Reaching over with his left hand to unsheeth his blade he would point it at her left eye "Jashing reigns supreme? HA! Don't make me laugh, my Lord Lucifer is the one that reigns supreme above all else. Jashin is a mere peasant compared to him and do not think I do not notice the sarcasm in your voice. Either you start treating me like the superior being that I am or there will be consecuences graverobber."* - Tue Sep 29 16:59:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) released her and sheethed his blade as he was nudged away. "I would be invading more than your personal space but there is that corpse you need to loot so get going."* - Tue Sep 29 17:06:33 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) raised a brow "Hmm? The prude is asking me to show her my dick. Now that is something that you do not see every day." he commented amused by the development that was happening before her. He would bring his right hand down to unhinge his right blade from his belt and attempted to thrust it into the girls stomatch. Since the blade was had not been unsheeth she was in no danger as to get stabbed by it since he was not about to kill someone he knew from his home village but he would inflict pain upon her since he had challenged him to something that his Lord encouraged.

Assuming the hit had gone off without a hitch he would being his left hand up to grab and pull her by the hair with intentions of throwing her against a bed "Be careful for what you wish for graverobber~ It might just come true." he would tease at her as he quickly followed after her to pin her down against the bed leaving the Katana he had used to hit her on the floor since at the moment his focus was on something else more important than his blade.* - Tue Sep 29 17:20:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I want to learn fire techniques. - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What do you know? - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: So far. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: To flare up my arrow, that is all. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Chakra flow? - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Indeed. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then, I suppose it's time I teach you something new. - Tue Sep 29 19:15:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: In anycase. . . We'll be seeing more of each other later. I'll beb ack. - Tue Sep 29 19:23:56 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Did you get the thing? - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Indeed. - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You can be rest asured that next time I see you your ass wil be mine. - Tue Sep 29 19:25:39 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) hated to see her go but loved to watch her leave.* - Tue Sep 29 19:31:37 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: You lack hatred... - Tue Sep 29 19:35:53 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 00:37:32 2015
<br><br><font color=teal>*Reguel(Airide) says: I met her sister. - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Her sister - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ? - Thu Oct  1 00:38:24 2015
<br><br><font color=teal>*Reguel(Airide) says: I think it was, her name was Misa. - Thu Oct  1 00:38:24 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) slid the door open.* - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -------- - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yo~ - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Did you miss me? - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Oh! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is he still here!!!! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Hideki! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Nice - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: he wasn't allowed to live here! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Getting a hand job! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I am sorry bro. - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ------------------- - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I did not mean to rain on your parade. - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The Lord Approves. - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Knock next time.. - Thu Oct  1 03:20:32 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) was over here complementing his boy and shit but no, Hideki had to be a dick and impail him with swords "Eh-" he would look at his limbs ".....Wh....What...the fuck.." he would say in shock "...W-Why..."* - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord doesn't approve. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Knock first.. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Asshole. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Thi.....s......is....not...violence worthy - Thu Oct  1 03:22:14 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: D-Do.. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: T-Think... - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: An apology is enough.. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes. I do. - Thu Oct  1 03:25:39 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) http://wifflegif.com/gifs/279854-arrow-to-the-knee-aaarrrggghhh-gif had this expression going on.* - Thu Oct  1 03:26:30 2015
