<br><font color=teal>*Kuro(Ichigo10101) says: Sure. I don't see any harm in doing so. - Sun Nov  8 00:11:56 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay. - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go. - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Mean! Haha no! Hes the sweetest dad you could have... a bit harsh yeah. But, the moment he hurts me whether serious or not, he starts crying. Hahaha! - Sun Nov  8 00:13:39 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Oh... alright then. - Sun Nov  8 00:14:30 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Its just when he starts sparring. Hes get all serious, and his attacks well. Even with a stick, he knocks me away.  - Sun Nov  8 00:16:12 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Huh....that's..... really amazing. - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hey I have a question, that pregnant lady that was covered in dried blood. Was she a nurse? - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Huh... she was pregnant!?!?! - Sun Nov  8 00:17:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: ....you didn't see the giant baby belly? - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I thought she was fat! - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Yeah i'll catch you later. - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Uh well... she talked about learning some medical stuff. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Do you know where she usually is? - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sorry to interrupt, I want to speak with her. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I don't know her at all. I just see her walking around often. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Hm... well worth a shot... She really should keep her clothing clean of blood though, being pregnant and all. - Sun Nov  8 00:25:36 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) noticed the glance whereupon he brandished a friendly smile. "Have we met?" He'd ask, as having met so many different people, he often times allowed names and faces to slip from his memory.* - Sun Nov  8 00:27:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Two of those suckers in her. Well no wonder she looks...*pausing herself* Uh...uh big in that area. - Sun Nov  8 00:32:25 2015
