<br><font color=yellow>*Momura(JustCallMeGnar) would've suddenly felt his full on foot-long inside of her as she'd practically be in a sex-coma. She'd wrap her legs around his waist as she drooled a little, a long and lustful moan echoing out of her until their lips met together, she'd lock lips with him passionately, her hands around his back, her nails digging into him furiously.* - Wed Nov  4 01:45:48 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've rubbed her tounge against his as she was in a state of euphoria from his constant pounding. Her body jiggled with each movement he made. Her asscheeks turning bright red as a squish sound was heard each time he moved inside of her. She'd feel her whole body pulsing with emotion and pleasure, her moans vibrating inside of his mouth..* - Wed Nov  4 01:50:56 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) had half of her body lifted into the air as she'd look up at him, suddenly being pummeled harder as she'd feel her body felt on fire and her insides were practically mush from him. Everytime he thrusted inside of her, he'd be hitting her g-spot and going straight into her womb, loud moans came from her every few thrusts as she couldn't help herself, drool coming form her mouth.

"H-H-H-Hanaiiii...."* - Wed Nov  4 01:56:03 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've practically been in heaven by now, as he was thrusting into her insides, going beyond normal limits. She'd be plopped onto her stomach, suddenly feeling her smallest hole penetrated by..Something much bigger, a shit-ton more pain running through her then pleasure suddenly as she'd let out  a rather..painful scream, losing the moaning side, she hadn't been prepared for that..* - Wed Nov  4 02:06:17 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) laid out on the bed as he pulled out, her mood was ruined by it...But she couldn't let him feel bad, "N-No..it's..fine.." she'd say as he kissed her, "J-Just continue...I don't wanna leave you with that feeling.."* - Wed Nov  4 02:15:40 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) kissed him back gently, "A-Alright.." She'd say, feeling him re-enter her, she'd let out a soft moan, most of her vibe already gone, "J-Just not inside.." She'd then wiggle her ass around as he'd push inside of her.* - Wed Nov  4 02:25:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sorry.... - Wed Nov  4 02:31:02 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've hugged him back, "I-It's fine.." She'd let out a sigh, she had enjoyed it for the most part though.* - Wed Nov  4 02:32:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..uhm.. - Wed Nov  4 02:35:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-One..or..T-Two.. - Wed Nov  4 02:35:18 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Three would be..a..H-Hassle.. - Wed Nov  4 02:35:18 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah... - Wed Nov  4 02:36:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Alright... - Wed Nov  4 02:36:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hey, do you want to take a shower? - Wed Nov  4 02:36:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Maybe eat some food? - Wed Nov  4 02:36:09 2015
