<br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe...She'd take out a kunai and tossed it directly at mitsunara, a fake explosive tag on the end as it'd zoom past her..Wether she were distracted by it or not, momura kept up with her location. The girl suddenly zooming forward at full speed, a good 129mph in an instant. As she did this, the girl leapt into the air and aimed to nail her foot right into the female's face.

"D-Dynamic entry!"* - Mon Nov  9 21:38:20 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've...done absolutely nothing to the female's face, a surprised look on her face...She'd blink for a moment. The female then was tossed do the side as she'd plop into the sand, looking up as she'd rush her arm up, taking the damage against her..arm..She'd cringe as the blade hit her arm rather painfully..

She'd blink, suddenly looking up at mitsunara, as she'd quickly bat the katana away as the girl rushed back, taking a breathe as she'd formulate what to do next...She'd take out two shuriken, and simply tossed them forward towards mitsunara, one on her left, one on her right.* - Mon Nov  9 21:46:52 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) grinned as she'd suddenly pull her fingers back, the shuriken had been on near-invisible wires as she'd aim to pull them back to lodge into the female's back as a distraction, making her feel as if she'd just been struck from behind. Within this moment, the girl blinked forward, her hand turned out to be a fist within a moment, as she'd aim to strike the girl on the chest...

However, the punch seemed to be more a shockwave upon hit, the damage migating all around the area of impact, most likely causing shock to run throughout the female's body within that instant.* - Mon Nov  9 21:52:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: T-This is annoying.. - Mon Nov  9 21:55:24 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked..Her strike did...well, nothing...Well looks like momura would have to take on some more damage. The small 4'11 female was struck in her midsection after being grabbed. Her eyes opened widely as pain rattled throughout her body.

The female backed up, but was held..So she couldn't really get out of the hold..Her hand suddenly jotted forward, aiming to use the same technique against the female's throat for a momentary stun, and aimed to get away if she could.* - Mon Nov  9 21:58:49 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) plops away from the girl quickly..

She'd rub her midsection and look up, getting onto her feet...If they had been alone, momura probably wouldn't of held back...But she'd probably die if she didn't hold back...She'd begin a strut forward as her hands clapped together, formulating through a set of handseals before she'd shoot out wires, aiming to wrap them around mitsunara, but the female seemed to be aiming for a certain body part instead of her whole body. Each arm went to wrap around mitsunara's arms, attempting to bound both of them.* - Mon Nov  9 22:03:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (7.92+6.5 is uh - Mon Nov  9 22:04:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: (( 14 Nin Defense, so 28 Doubled.)) - Mon Nov  9 22:05:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (ohwell - Mon Nov  9 22:05:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I have like 14.4 to - Mon Nov  9 22:05:39 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: They're okay in level of strength. - Mon Nov  9 22:09:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I don't think it'd be smart to fight them. . .they might not live. - Mon Nov  9 22:09:04 2015
<br><br><font color=teal>*Nari(Ej247) thinks: starving. - Mon Nov  9 22:09:04 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked as the wires were cut in an instant...the girl was rather fast with the katana..So momura decided to use her speed against mitsunara. She'd quickly utilize her suimen technique as she'd rush up the side of the arena until getting onto the very top, looking down at mitsunara...She'd simply look back at mitsunara, doing a "come at me" sign with two fingers, waving her towards the female..* - Mon Nov  9 22:09:55 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) rushed backwards before suddenly zooming forward as the girl pushed up into the air with strength..

"I-I won't hold back..t-this time..D-Don't uhm..h-hit me to hard!" Suddenly the female's forehead had two antenna plop out of them as she'd rush towards the girl in the air. Her body was zooming at full speed as she'd aim to land a punch directly onto the girl's face, or katana, most likely shattering the katana.* - Mon Nov  9 22:13:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (damage is.. - Mon Nov  9 22:14:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (uhm - Mon Nov  9 22:14:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: sec - Mon Nov  9 22:14:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (* - Mon Nov  9 22:14:11 2015
