<br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yeah. - Tue Oct  6 19:46:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh, Maloth.. I forgot to ask you.. Did you win the contest? - Tue Oct  6 19:47:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: SON! - Tue Oct  6 19:47:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: The boulder pushing one. - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm? Yes, is win easy. - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Holyshit... So, Amon lost.... I was last.... Ugh, I need to hit his level and fast. - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I forgot. . - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I don't fight. - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I am impressed... - Tue Oct  6 19:48:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You are very stro-.. Yeah. - Tue Oct  6 19:49:07 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Ye'. Beat bad. Nee' do 'gain, am good fo' train. - Tue Oct  6 19:49:07 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Tue Oct  6 19:49:07 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: I saw that. . - Tue Oct  6 19:54:14 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: --..Saw what? - Tue Oct  6 19:55:05 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: How you were looking at her bust. . - Tue Oct  6 19:55:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) whispers: That shouldn't be a problem.... - Tue Oct  6 19:55:56 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) whispers: Do you want to fuck her or something? - Tue Oct  6 19:56:48 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I'll fight him. - Tue Oct  6 19:59:21 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Tue Oct  6 19:59:21 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) unleashed her kekkei genkai

+ 30 intelligent + 25 genjutsu.* - Tue Oct  6 20:00:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Everyone. - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm informing you. - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Of a way to make money.. - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm not selling my body. - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: you already did. - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: slave - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: omit - Tue Oct  6 20:01:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I am buying techniques, D ranks-100,000, C-Ranks 200,000, B ranks: 300,000, And A ranks 500,000. - Tue Oct  6 20:01:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm doubling that for Advanced Elements or Clan-based techniques.. - Tue Oct  6 20:01:55 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Tue Oct  6 20:01:55 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I'll give you this rinnegan scroll. - Tue Oct  6 20:02:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: E-Ranks 50,000. - Tue Oct  6 20:02:46 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: omit - Tue Oct  6 20:02:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Tue Oct  6 20:03:37 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) grabbed Kojiro's hand.* - Tue Oct  6 20:05:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: You're crazy, right. - Tue Oct  6 20:05:20 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: ??? - Tue Oct  6 20:05:20 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ..... - Tue Oct  6 20:05:20 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: What is going on.. - Tue Oct  6 20:08:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Oi, Midget, How've you been? - Tue Oct  6 20:09:36 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) can't stop him from breaking the hold.* - Tue Oct  6 20:11:18 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: PLOL - Tue Oct  6 20:12:09 2015
