<br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *waves at Nami* - Wed Dec  2 05:44:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: You'll  understand when you get them. - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I am getting some? - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmmm..... - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiii. - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Sure I guess. - Wed Dec  2 05:45:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: My boy. - Wed Dec  2 05:46:27 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How's it going Nami? - Wed Dec  2 05:46:27 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It'sgoinggood. - Wed Dec  2 05:47:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's good. - Wed Dec  2 05:48:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: There is going to be a festival after the chuunins. - Wed Dec  2 05:48:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Did you hear about it? - Wed Dec  2 05:48:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nah. - Wed Dec  2 05:48:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea, Kyu said that it is going to be a maid cafe thing going on and some other sruff. - Wed Dec  2 05:49:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You want to go? - Wed Dec  2 05:49:00 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. - Wed Dec  2 05:49:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Great. - Wed Dec  2 05:49:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey, lets fight. - Wed Dec  2 05:49:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Fight? I don't want to fight. - Wed Dec  2 05:50:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You don't want to spar? - Wed Dec  2 05:50:43 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I mean, I -can-. - Wed Dec  2 05:53:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You don't have to if you don't want too. - Wed Dec  2 05:54:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I kind of want to learn a jutsu. - Wed Dec  2 05:54:59 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Marco! - Wed Dec  2 05:55:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I still have to learn that rock breaking jutsu. - Wed Dec  2 05:56:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Me either. - Wed Dec  2 05:58:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What elements do you know? - Wed Dec  2 05:58:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I don't use elements. - Wed Dec  2 05:58:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok well there is still one thing that I can show you if you want it. - Wed Dec  2 05:58:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? Sure. - Wed Dec  2 05:58:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright come on. - Wed Dec  2 05:59:15 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) followed after him.* - Wed Dec  2 05:59:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ok. - Wed Dec  2 06:00:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: This jutsu is simple. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But I will warn you now. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Until you get the hang of it you will be dizzy right after you use it. - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I know Leaf Great Whirlwind. You really think I'll get dizzy? - Wed Dec  2 06:00:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Ok. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well here it is. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Kinami. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Yes? - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Do you even wanna know. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like what your elements are? - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well I could, but I doubt I'll use them. - Wed Dec  2 06:01:48 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm Okay here. - Wed Dec  2 06:02:40 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) reaches out for the paper and puts it between her fingers, flowing her chakra into it for literally a minute and a half before it became even the slightest bits of moist.* - Wed Dec  2 06:03:31 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I guess I have water. - Wed Dec  2 06:04:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Hmm water. . . I'm still looking for a teacher for that one. - Wed Dec  2 06:05:13 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Wow warter. - Wed Dec  2 06:06:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And here I thought i was so left field from everyone. - Wed Dec  2 06:06:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You know water techniques? - Wed Dec  2 06:06:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Who me? - Wed Dec  2 06:06:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I know one. - Wed Dec  2 06:06:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, both of you. - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Nope but Koji and Mizora do. - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Ahh. - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Koji? - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm I need to talk to him. - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yeah. - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: He rarely uses it but he has it. - Wed Dec  2 06:07:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey hiro.....What was that thing you did You moved so fast.... Like with out my goggles I would not have been able to see you. - Wed Dec  2 06:08:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Wed Dec  2 06:09:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: It was Shunshin. - Wed Dec  2 06:09:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You don't know it? - Wed Dec  2 06:09:29 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Ive seen it used. - Wed Dec  2 06:09:29 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: No one has taught me. - Wed Dec  2 06:09:29 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well then did you hear what I told her? - Wed Dec  2 06:10:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yes I did. - Wed Dec  2 06:10:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright well then you have pretty good chakra control right? - Wed Dec  2 06:11:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just put up a Tiger! seal and just control your chakra. - Wed Dec  2 06:12:03 2015
<br><br><font color=yellow>*Kinami Hassan(Ninasky115) nodded at Hiroshi's explination of the technique. It seemed pretty basic and pretty useful in an overall standpoint. And so, Kinami would bring her hands up and place them together slowly in the tiger handseal. It was so long since she actually had to remember a handseal without it being etched into her brain like Bunshin or Kawarimi. She hadn't really thought about the tiger seal in a minute.

She was able to remember the handseal however, and now came the chakra part, the part that she didn't really care for. She had basic genin chakra control, but she usually wasn't really planning on using it for anything at all. Closing her eyes to focus her chakra into the tiger handseal, she'd wait for something to happen. When she felt the chakra beginning to take effect, Kinami would shoot forward.

Kinami burst out of nowhere a bit of ways away from Hiroshi, her eyes taking a while to adjust to her new surroundings. Her brain wasn't really used to the sudden burst of movement, so the change in the environment kind of took her back a bit. "Oh man..." Kinami chuckled a little and took a seat in the sand below her, looking up at Hiroshi. "That's a nice jutsu there."* - Wed Dec  2 06:17:10 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thanks.... - Wed Dec  2 06:20:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Now we just have to wait on Trill. - Wed Dec  2 06:20:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Next time you want to learn something I will teach you how to walk on walls. - Wed Dec  2 06:24:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Unless you know it already. - Wed Dec  2 06:24:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good job buddy. - Wed Dec  2 06:28:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm sorry if I didn't tell you. - Wed Dec  2 06:28:16 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its okay........I know after a while of using it it goes away. - Wed Dec  2 06:29:07 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I watched Iza train using it. - Wed Dec  2 06:29:07 2015
