<br><font color=teal>*Kurigaya, Belladona(Curi0sity) says: What is my life? - Wed Dec  2 22:00:06 2015
<br><br><font color=yellow>*Kurigaya, Belladona(Curi0sity) Belladona sighed and walked to the window. She looked out to the night sky, enjoying the stars. It reminded her simpler times.* - Wed Dec  2 22:01:48 2015
<br><br><font color=yellow>*Kurigaya, Belladona(Curi0sity) I walked to the door, hesitently opening and going out to the hall.* - Wed Dec  2 22:03:31 2015
<br><br><font color=teal>*Kurigaya, Belladona(Curi0sity) says: Um... Hi? - Wed Dec  2 22:05:13 2015
<br><br><font color=teal>*Kurigaya, Belladona(Curi0sity) says: *smiles awkwardly* H-hello! - Wed Dec  2 22:06:04 2015
<br><br><font color=teal>*Kurigaya, Belladona(Curi0sity) says: *smiles and waves* Hello! - Wed Dec  2 22:13:45 2015
<br><br><font color=yellow>*Kurigaya, Belladona(Curi0sity) *Pauses and thinks for a bit, then tilts her head a tad.* "My name is Bella, what's yours?"* - Wed Dec  2 22:17:10 2015
<br><br><font color=yellow>*Kurigaya, Belladona(Curi0sity) I look around the shop for a while, taking in all the different clothes and scrolls and items. I always found it amusing how many things humans could hoard and buy. I glanced for a little bit at my new clothes, these were quite comfortable, and just my style.* - Wed Dec  2 22:21:26 2015
<br><br><font color=teal>*Kurigaya, Belladona(Curi0sity) says: The pleasure is shared, actually. - Wed Dec  2 22:36:48 2015
<br><br><font color=yellow>*Kurigaya, Belladona(Curi0sity) *She pauses for a short time, thinkign over what to say.* "Well, I'm going to be honest. I am very bad with small talk." *She laughes a bit, feelign awkward.** - Wed Dec  2 22:41:04 2015
<br><br><font color=teal>*Kurigaya, Belladona(Curi0sity) says: I quite hope that happens. - Wed Dec  2 22:47:02 2015
<br><br><font color=yellow>*Kurigaya, Belladona(Curi0sity) She smiles, bowing to him, a silly thing she enjoys doing, then sprints out the shop and back home, waving to him quickly right before she left the shop.
* - Wed Dec  2 22:47:53 2015
