<br><font color=teal>*Trilliam(VantetheGreat) says: Its law. - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Meh. - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sat Nov  7 01:43:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: So...anyone seen anything cool lately. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Depends on your definition of a cool. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: No...Not really...Although I did see the Kazekage..He's right there....Does that count? - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I did see a cool technique utilized that one time. He kinda like. . teleported. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Into a Shadow. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Into a shadow? - Sat Nov  7 01:48:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. I'm unsure if it was teleportation or just high speeds. - Sat Nov  7 01:49:39 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmmm? - Sat Nov  7 01:49:39 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hmm. - Sat Nov  7 01:51:21 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Anyone want to pass on any Fire style techniques~ - Sat Nov  7 01:51:21 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: To a young and impressionable shinobi who is set to become the next ace of the village?~ - Sat Nov  7 01:52:12 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: About that....Koji...do you know about any squads being formed? - Sat Nov  7 01:53:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ivel no one uses fire. - Sat Nov  7 01:55:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its all about earth and ligtning around these parts. - Sat Nov  7 01:55:37 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...I do! - Sat Nov  7 01:55:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its not about you Ivel. - Sat Nov  7 01:57:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Naa but serosuily te only fire users are your side of the famialy. - Sat Nov  7 01:58:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sat Nov  7 01:58:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 01:59:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Really? - Sat Nov  7 02:00:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You'd think with all the heat around here. - Sat Nov  7 02:00:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: How you think i feel only like 2 people in the vilalge can use lightning. - Sat Nov  7 02:02:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's really h-hot around here.. - Sat Nov  7 02:02:27 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You get used to it. - Sat Nov  7 02:03:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wasn't there supposed to be like some tournament? - Sat Nov  7 02:10:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Geez. Oh well, gives me time to work on completing my new jutsu. - Sat Nov  7 02:10:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 02:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Does anyone..w-wanna spar? - Sat Nov  7 02:11:50 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: What sort of spar? - Sat Nov  7 02:11:50 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: J-Just no major h-hurting..T-Training spar. - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There are different types of spar? - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Soars* - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Yes. - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Umm - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Are you fire resistant?! - Sat Nov  7 02:12:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No.. - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hmm. - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I don't know! - Sat Nov  7 02:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wouldn't accept the battle. - Sat Nov  7 02:15:15 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If you want. I could fight with you? - Sat Nov  7 02:15:15 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: This shit looking sexy. - Sat Nov  7 02:15:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me? - Sat Nov  7 02:16:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or him... - Sat Nov  7 02:16:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You. - Sat Nov  7 02:16:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure.. - Sat Nov  7 02:17:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Err. . You don't have to if you don't want. - Sat Nov  7 02:17:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've never sparred before..S-So uhm..I do - Sat Nov  7 02:17:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Lead the way!! - Sat Nov  7 02:17:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yep. - Sat Nov  7 02:18:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me and H-Hanai.. - Sat Nov  7 02:18:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Squads wil com after the next Chunin Exams. Hassan needs more chuunins, so he'll be holding those soon. - Sat Nov  7 02:27:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...Where is Hassan... - Sat Nov  7 02:32:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, check his office Ai. - Sat Nov  7 02:32:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He only came out briefly to meet the genin. - Sat Nov  7 02:33:10 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: Keep an eye on Ai. He's dangerous right now. - Sat Nov  7 02:34:01 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Dangerous? But, he's usually oneo f the most kind-hearted people I know. - Sat Nov  7 02:34:01 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: I just got into a fight with him, and he's looking for blood. He's going after the ones responsible for Ketsuki's death, meaning Trilliam. - Sat Nov  7 02:34:01 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmmm.. - Sat Nov  7 02:34:52 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: Tell Yan and any other officials to be on the watch. He's not in the right mental state at the moment. - Sat Nov  7 02:34:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes I will do that swiftly. - Sat Nov  7 02:36:35 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Could you not calm him? - Sat Nov  7 02:36:35 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: No. That's what cause the fight.  I was trying to cut off his control and let him cool off, but it didn't work. - Sat Nov  7 02:37:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Heheh, well I imagine no one is going to take too kindly in having their chakra cut off. You should becareful his ability is quite dangerous. - Sat Nov  7 02:40:51 2015
<br><br><font color=teal>*Kuro(Ichigo10101) whispers: Yeah, it was something. - Sat Nov  7 02:41:42 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would direct his Desert Owl members to inform all head officials of Suna of possible threat. "Of a certain individual"* - Sat Nov  7 02:41:42 2015
<br><br><font color=teal>*Reguel(Airide) whispers: Who are we taking about? - Sat Nov  7 02:42:33 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Nothing really.. - Sat Nov  7 02:43:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Sat Nov  7 02:43:24 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would step into the shadows like batman, but not really sense two of the individuals arrived.* - Sat Nov  7 02:45:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Anyway, Koji, do you think you can teach me that technique from before? - Sat Nov  7 02:45:58 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Can I watch? - Sat Nov  7 02:45:58 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Huh? - Sat Nov  7 02:46:49 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would call Fuji and Yan over to him.* - Sat Nov  7 02:46:49 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Sat Nov  7 02:46:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sat Nov  7 02:47:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: How goes it? - Sat Nov  7 02:47:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: Homies, we may have a problem. Ai is looking for blood. - Sat Nov  7 02:48:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: How come? - Sat Nov  7 02:49:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: .....? Ketsuki? - Sat Nov  7 02:49:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: ......Shit.. - Sat Nov  7 02:49:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) whispers: She's angry with the death of Ketsuki... She's seeking Trilliams's head. - Sat Nov  7 02:50:14 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Are you friends with Koji? - Sat Nov  7 02:50:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Two things happen. We take Trilliam out of the village and we talk to Ai or we hold Trilliam accountable as a normal ninja... - Sat Nov  7 02:51:05 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) whispers: Let me speak to her.. - Sat Nov  7 02:51:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: It's not my choice to met but that's what you are faced with. - Sat Nov  7 02:51:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: But remember this...and i'm not saying what we should do. But Leo is behind bars and he didn't even kill someone. Trilliam killed someone. We have to be realistic about how things are perceived..Do you understand? - Sat Nov  7 02:51:56 2015
