<br><font color=teal>*Sumie(Ninask115) says: Hmm....? - Fri Oct 30 17:26:36 2015
<br><br><font color=yellow>*Sumie(Ninask115) follow follow? yeeah, that's what she'll do* - Fri Oct 30 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You know Suiton, correct? - Fri Oct 30 17:42:49 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: No, techniques. - Fri Oct 30 17:44:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Is he serious, he knows I can kill him with a flick of my wrist-- right? - Fri Oct 30 17:47:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh my, hello guys. - Mon Dec  7 23:42:56 2015
<br><br><font color=yellow>*Alex(Ninask115) brought a hand up and waved at the young sir.* - Mon Dec  7 23:48:03 2015
<br><br><font color=teal>*Claudette(Kumaki) says: .. Uh.. Some random guy.  - Mon Dec  7 23:57:26 2015
<br><br><font color=teal>*Claudette(Kumaki) says: That I talked with earlier. - Mon Dec  7 23:57:26 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Pretty much - Mon Dec  7 23:57:26 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh my. - Mon Dec  7 23:58:17 2015
<br><br><font color=teal>*Alex(Ninask115) says: .... - Tue Dec  8 00:02:33 2015
<br><br><font color=yellow>*Alex(Ninask115) blinked a little and walked up beside Mitsunara out of nowhere, just watching what was going on.* - Tue Dec  8 00:06:49 2015
<br><br><font color=teal>*Alex(Ninask115) says: You're a realy good fighter, huh? - Tue Dec  8 00:14:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, I'd like to think so.. - Tue Dec  8 00:15:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: ...Oooh. - Tue Dec  8 00:16:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Kinky. - Tue Dec  8 00:16:12 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Sunagakure huh... - Tue Dec  8 00:40:06 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I wonder how everybody is right now... - Tue Dec  8 00:40:06 2015
<br><br><font color=yellow>*Alex(Ninask115) blinked a little as she was talked to by the chick. She didn't know what to say, so she just rubbed the back of her head, looking down towards the ground. "S-Sorry..."* - Tue Dec  8 00:43:31 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And no need to be sorry. . Simply found it weird that you were silently observing for so long. <@Alex> - Tue Dec  8 00:44:22 2015
<br><br><font color=teal>*Alex(Ninask115) says: I'm not very vocal, I suppose... - Tue Dec  8 00:45:13 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: I really wanna head back just to check up on everyone.  - Tue Dec  8 00:46:04 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Hey Hanae.. - Tue Dec  8 00:47:47 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Shut your mouth, Yoshima.  - Tue Dec  8 00:50:20 2015
<br><br><font color=teal>*Claudette(Kumaki) says: ...... - Tue Dec  8 00:50:20 2015
<br><br><font color=teal>*Asin(Thanatoz) thinks: Strange.. - Tue Dec  8 00:50:20 2015
<br><br><font color=teal>*Claudette(Kumaki) thinks: Makes me think of my little dolls times. - Tue Dec  8 00:50:20 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: I want to kill someone today.  - Tue Dec  8 00:51:12 2015
<br><br><font color=teal>*Alex(Ninask115) says: S-So.... - Tue Dec  8 00:52:54 2015
<br><br><font color=teal>*Claudette(Kumaki) says: A-Asteroth.. Is it alright if I go with Yoshima and Hanae to the hospital?  - Tue Dec  8 00:52:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Man.. - Tue Dec  8 00:53:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: That guy is pussy-whipped. - Tue Dec  8 00:53:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Hah! - Tue Dec  8 00:53:45 2015
<br><br><font color=teal>*Nyuki, Yoshima(Maya Nonomyth) thinks: Why does Hanue gotta come..  - Tue Dec  8 00:53:45 2015
<br><br><font color=teal>*Nyuki, Yoshima(Maya Nonomyth) thinks: I want Mistress and I alone time! No fair, That Hanae joins. - Tue Dec  8 00:54:36 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: I'm so fucking stoned right now. - Tue Dec  8 00:54:36 2015
<br><br><font color=teal>*Hanae(Ej900) thinks: -omit- - Tue Dec  8 00:54:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: To the hospital? If Hanae will have you. - Tue Dec  8 00:55:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Anyway. You also said the resturants aren't too bad, neh? How about I go buy us some dinner and your favorite one, and we talk..? You seem.. interesting; and it seems theo thers here have their own plans to attend to. - Tue Dec  8 00:55:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: If you leave, be sure to alert me. - Tue Dec  8 00:55:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Besides, I'd rather my trip here not have been a total waste of time. I've got a few more weeks before I have to go home, and I'd rather not waste them. - Tue Dec  8 00:56:19 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Oh I'm sure she can help me. And I need to help Yoshi out aswell.  - Tue Dec  8 00:56:19 2015
<br><br><font color=teal>*Nyuki, Yoshima(Maya Nonomyth) thinks: Why does the Creepy, Fruity fuck have to join.... - Tue Dec  8 00:56:19 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mmm.. - Tue Dec  8 00:57:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'd suppose. If you're buying. - Tue Dec  8 00:57:10 2015
<br><br><font color=teal>*Nyuki, Yoshima(Maya Nonomyth) says: So her name is Asteroth? - Tue Dec  8 00:57:10 2015
<br><br><font color=teal>*Nyuki, Yoshima(Maya Nonomyth) says: Is she my... - Tue Dec  8 00:57:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But of course. I am the visitor here, after all. - Tue Dec  8 00:57:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: What's with this kid. .? - Tue Dec  8 00:57:10 2015
<br><br><font color=teal>*Alex(Ninask115) says: O-Oh. Can I go with....? - Tue Dec  8 01:00:35 2015
<br><br><font color=yellow>*Alex(Ninask115) shot her arms into the air and flung them around like a crazy woman. "Hey, I want to go too..."* - Tue Dec  8 01:02:17 2015
<br><br><font color=teal>*Claudette(Kumaki) says: Hanae~ Come come~  - Tue Dec  8 01:04:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kid.... - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: What's with you, followin us? - Tue Dec  8 01:12:32 2015
<br><br><font color=teal>*Alex(Ninask115) says: I just....want people to hang out with... - Tue Dec  8 01:12:32 2015
