<br><font color=teal>*Nina(Ninasky115) says: Want me to help you? - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Nah i'm good. - Fri Oct  9 14:37:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ahh, well alright then. - Fri Oct  9 14:38:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Wasn't there some stuff you wanted to learn from me Ortho? - Fri Oct  9 14:40:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know. He said he had something to teach me after I mastered my jutsu, but maybe he changed his mind. - Fri Oct  9 14:41:29 2015
<br><br><font color=yellow>*Nina(Ninasky115) shunshins to Konohagakure.* - Fri Oct  9 14:41:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: There was, Takeda. - Fri Oct  9 14:41:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you want to do that now? - Fri Oct  9 14:42:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I have somethings I want to talk to you about too. - Fri Oct  9 14:42:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I wouldn't mind. - Fri Oct  9 14:43:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Can I come along? - Fri Oct  9 14:43:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh...Sure. - Fri Oct  9 14:44:03 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Shall we then? - Fri Oct  9 14:44:54 2015
<br><br><font color=yellow>*Nina(Ninasky115) followed after them* - Fri Oct  9 14:44:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: We can talk a little later, What did you want to learn first? - Fri Oct  9 14:45:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Everything you have. - Fri Oct  9 14:45:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What do you have so far? - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just raging waves and earth flash? - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Earth Flash and Raging Waves. - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Jeez. It must be nice to learn other elements.... - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I didn't learn to manipulate them, I was born with the abilitiy. - Fri Oct  9 14:46:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: As was I. - Fri Oct  9 14:47:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well uh...I can only teach you one jutsu so far then. - Fri Oct  9 14:48:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you know of the fireball jutsu? - Fri Oct  9 14:49:10 2015
<br><br><font color=yellow>*Nina(Ninasky115) just watched from a distance, since she couldn't do anything else.* - Fri Oct  9 14:49:10 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I've seen it before, but don't know how to use it. - Fri Oct  9 14:50:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah, Well I do. - Fri Oct  9 14:50:01 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll teach you that then. - Fri Oct  9 14:50:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey Takeda. - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah? - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What's that wind jutsu that you're working on? - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Great Breakthrough. - Fri Oct  9 15:01:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ahh. Sounds awesome. - Fri Oct  9 15:02:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It is, It's quite a force of wind you produce. - Fri Oct  9 15:02:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 15:13:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, uhhh. Since I don't have anything to learn, anybody want to spar? - Fri Oct  9 15:15:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Nicely done Ortho. - Fri Oct  9 15:17:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Pretty easy right? - Fri Oct  9 15:17:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very - Fri Oct  9 15:17:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No one want to spar? Not even a little bit? - Fri Oct  9 15:19:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Uh, Maybe in a minute Nina. - Fri Oct  9 15:20:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Do you have anything you can teach me first Ortho? - Fri Oct  9 15:20:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Well. Do you know Earth Flash and Raging Waves? - Fri Oct  9 15:20:44 2015
<br><br><font color=yellow>*Nina(Ninasky115) just plopped on the ground and sat around.* - Fri Oct  9 15:20:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: The two jutsu's that I didn't even master yet... - Fri Oct  9 15:21:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yes. - Fri Oct  9 15:21:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mastered them both. - Fri Oct  9 15:21:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .....well, do something fun guys! - Fri Oct  9 15:24:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Oct  9 15:27:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Then there's nothing I can really teach you.. - Fri Oct  9 15:28:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Not until I secure more jutsu's from other people. - Fri Oct  9 15:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see...Hm. - Fri Oct  9 15:29:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Also Ortho, you know about Suitengu right? - Fri Oct  9 15:30:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I do.. - Fri Oct  9 15:32:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, And with the recent development here...We're running out of options. - Fri Oct  9 15:34:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Options...? - Fri Oct  9 15:34:24 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What Nina? - Fri Oct  9 15:35:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What options are you talking about....? - Fri Oct  9 15:35:15 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Just things in general. - Fri Oct  9 15:36:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm not sure I want to stay here anymore. - Fri Oct  9 15:36:06 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What concerns you Nina? - Fri Oct  9 15:36:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't really have any concerns. Just going to train so that the incident from yesterday never happens again. - Fri Oct  9 15:37:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I couldn't even do anything but run. - Fri Oct  9 15:37:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: At least your whole village wasn't destroyed. - Fri Oct  9 15:37:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Anyway, Ortho. - Fri Oct  9 15:40:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Come over here a sec, I want to talk to you privately for a bit. - Fri Oct  9 15:40:22 2015
<br><br><font color=teal>*Storm(Sisbro55) says: Hi. - Fri Oct  9 15:42:04 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: .....There pretty quiet. - Fri Oct  9 15:43:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, hey. - Fri Oct  9 15:43:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: I'm not sure yet, I'm thinking Suna but I mostly want to travel to find teachers and mentors. - Fri Oct  9 15:43:47 2015
<br><br><font color=teal>*Storm(Sisbro55) says: Anyone here know earth or wind? - Fri Oct  9 15:44:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I know wind but I don't have a lot of jutsu. - Fri Oct  9 15:44:38 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: Shame.. - Fri Oct  9 15:44:38 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked a little, and followed after him, waving back at Takeda and Ortho since they were too busy for her anyway!* - Fri Oct  9 15:45:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hey Hideki. - Fri Oct  9 15:47:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello, Nina. - Fri Oct  9 15:47:12 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .So, who is the new leader? - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Deez nuts. - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I was informed someone here would be teaching. - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: May I inquire to what? - Fri Oct  9 15:48:54 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Booooooooooooooooooooooooooooooooo. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll be teaching you guys Suimen. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can understand why giving your villages recent...events. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Suimen? - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  9 15:49:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Is that the ability to walk on water or am I mistaken? - Fri Oct  9 15:50:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, you apply chakra to the soles of your feet, and you can use that to walk on any surface. - Fri Oct  9 15:50:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I see, It's not jutsu but i'll learn it. I can see where that will come in handy. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That is of course, if you'll have me. - Fri Oct  9 15:51:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Of course, anyone is invited to learn. - Fri Oct  9 15:52:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can start now, since no one else is coming it seems. - Fri Oct  9 15:52:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Wu- - Fri Oct  9 16:11:05 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:11:05 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked over at the water and sighed as she walked forward, her eyes looking over the water intently. She heard and watched Hideki do the technique just a few seconds ago, and so she was going to learn how to get on this water and not only walk, but skate over it. Pushing chakra into her feet, she'd take the first step on the water, but instead just fell into the water underneath her. "What the heck..."

After pulling herself back up from the water and crawling out of it, she'd sigh and stand up, turning her head over towards the water once again. Putting her chakra into her feet once again, she'd walk towards the water and slowly push her foot on top of it once more, feeling it grip on the water now. With a smile, she'd move her other foot over the water and feel it grip. And, after that, she'd began doing just what she said she'd do, literally skating over the water just for the fun of it.* - Fri Oct  9 16:14:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll tag along. I'll have ot discuss something with you anyways. - Fri Oct  9 16:17:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm. - Fri Oct  9 16:17:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Ortho is given recognition again... - Fri Oct  9 16:18:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm heading back - Fri Oct  9 16:20:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Me too. - Fri Oct  9 16:20:28 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ok, Let's go. - Fri Oct  9 16:21:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: That was quick. - Fri Oct  9 16:43:31 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Unless you want me to kil- - Fri Oct  9 18:55:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm.... - Fri Oct  9 18:55:47 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Hideki is too emotional. He doesn't know what's best for Heiwa. - Fri Oct  9 18:56:38 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: And you are nothing. - Fri Oct  9 18:57:29 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: You have already spoken out of term for too long. - Fri Oct  9 18:58:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .....sir, can I just go in and see Heiwa please? - Fri Oct  9 19:01:45 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Please leave. - Fri Oct  9 19:01:45 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Or better yet, wait in the other room. - Fri Oct  9 19:02:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to see Heiwa first. - Fri Oct  9 19:02:36 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked a little, and turned her head. "Fine."* - Fri Oct  9 19:07:44 2015
<br><br><font color=yellow>*Nina(Ninasky115) started rushing out of her room as she heard all of the things going on outside, noticing that something had to happen. Turning her eyes towards the Anbu person, she'd quickly bring her hands up, knowing that she had to do something. She tried to make no sounds at all, her eyes locked onto him fully and completely. As her hands neared each other, they'd begin moving through the handseals quickly, knowing exactly what they were before even looking at them.

Pushing her head forward and allowing her eyes to dart towards where she'd take aim, she'd pick her targets carefully as she acted. Shooting forward the chakra built up in her body. she'd release the wind bullets to smack into him quite powerfully. They were aimed to hit him in the back of the head, the back of his left, and the back of his right knee. She shot two bullets for each, aiming to either knock him out or at least knock him off of his feet.* - Fri Oct  9 19:46:59 2015
<br><br><font color=yellow>*Nina(Ninasky115) rushed into the room to see the dead body of Lyala. There was nothing she could do, even with her strongest jutsu, there wasn't anything she could do. She couldn't even cause a single injury. Gripping her fists together once again, she'd look down and close her eyes, allowing tears to begin streaming down her face. "Heiwa...."* - Fri Oct  9 20:57:48 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed as she walked forward towards Heiwa, wrapping her arms around the boy and trying to drag him away. "Stop Heiwa, stop it now." She'd continue to try and pull him back, not caring for any hateful words or anything else that he could've done to her. She wasn't taking that at all, he had to keep his dignity now.

"You can grieve later."* - Fri Oct  9 21:41:20 2015
<br><br><font color=yellow>*Nina(Ninasky115) picked up the scroll on the way out and kept dragging him out of the house. Bringing up a hand, she'd throw her hand forward and aim to slap him hard on the side of the face. "Snap out of it!"* - Fri Oct  9 21:51:34 2015
<br><br><font color=yellow>*Nina(Ninasky115) kept dragging him away. "Hate me all you want, we're going."* - Fri Oct  9 21:54:59 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm taking you to your uncle, now shut up! - Fri Oct  9 21:57:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Are you ready to go? - Fri Oct  9 22:09:29 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Where are you two going? - Fri Oct  9 22:09:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: On a date. - Fri Oct  9 22:10:20 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . . . - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: With my nephew? - Fri Oct  9 22:11:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, with your nephew. - Fri Oct  9 22:13:45 2015
<br><br><font color=yellow>*Nina(Ninasky115) felt her grip over Heiwa tighten as the blade was pressed against her neck, her eyes having tears already flowing into them. "Fine. Kill me, I'm trying to help him get to his family." She hadn't wanted to spill the beans, hoping that Heiwa would tell her so that she didn't have to.* - Fri Oct  9 22:22:17 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: Unnoticed like a true fucking champ. - Fri Oct  9 22:26:33 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked down at Heiwa, trying to jolt him back to life. "Should I tell her?"* - Fri Oct  9 22:27:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Fine with me. Fine with you, Heiwa? - Fri Oct  9 22:33:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Fine. - Fri Oct  9 22:35:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Where is he? - Fri Oct  9 22:35:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Kirigakure. - Fri Oct  9 22:35:56 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How did you recieve word? - Fri Oct  9 22:37:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: A message. We should really get going now. - Fri Oct  9 22:37:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm..... - Fri Oct  9 23:18:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) thinks: This better not come back to fuck me in the ass. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Oi. - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: . . .? - Fri Oct  9 23:23:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are welcome to stay here if you like. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: As you can see we need the help. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: No. - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki.... - Fri Oct  9 23:24:35 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Take care then. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll be staying with someone I haven't seen for a few years. - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Fri Oct  9 23:25:26 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Fri Oct  9 23:25:26 2015
<br><br><font color=yellow>*Nina(Ninasky115) followed up with Heiwa who followed up with Ambro up to Hideki.* - Fri Oct  9 23:28:00 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 23:31:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The two brats. - Fri Oct  9 23:31:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Come here. - Fri Oct  9 23:31:24 2015
<br><br><font color=yellow>*Nina(Ninasky115) walked up beside him, her eyes trained on the person in the hat.* - Fri Oct  9 23:33:58 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I want you two to place your chakra into these papers. - Fri Oct  9 23:35:40 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Yo, yo, yo. - Fri Oct  9 23:35:40 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked as she pulled out the paper. "If those are element papers, I have wind. I know already."* - Fri Oct  9 23:35:40 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed as she pushed her hand out with the chakra paper. She didn't really want to waste the use of a chakra paper, but she had to apparently. Forcing her chakra into it, she'd slowly watch the paper split in half from the side, which she pretty much expected.* - Fri Oct  9 23:43:21 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. I see. - Fri Oct  9 23:44:12 2015
<br><br><font color=yellow>*Nina(Ninasky115) tickles him into submission. The game-winning attack!* - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: And you two will be staying here along with Hideki? - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mhm.. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Oh dang. - Fri Oct  9 23:45:04 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Can't learn from ya' or even teach ya' - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: A shame. - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sadly, not many people -can- teach me. - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Very well. - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How old are you two? - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: I think I can help. . . - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm nine. - Fri Oct  9 23:45:55 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Six years old. - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Extra young. - Fri Oct  9 23:46:46 2015
<br><br><font color=teal>*Elon(Chevy Corolla) thinks: I swear t'god they get younger 'n younger. I'm startin' to look like Hassan. - Fri Oct  9 23:47:37 2015
<br><br><font color=yellow>*Nina(Ninasky115) smiled at the Mizukage, and pushed her thumb up. "Yep!~"* - Fri Oct  9 23:47:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Teach them if they want to learn. - Fri Oct  9 23:48:28 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Finally, a teacher!! - Fri Oct  9 23:48:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: On that note who are you? - Fri Oct  9 23:48:28 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Yoshiko. . .A kunoichi. . .I'm a user of ice. . .made of water and wind. - Fri Oct  9 23:50:11 2015
<br><br><font color=yellow>*Nina(Ninasky115) smiled and nodded at Yoshiko, signaling that she had indeed wanted a teacher. After that, she'd turn her head to Heiwa, looking at him, knowing what this was about. "Yeah you are, no need to lie Heiwa."* - Fri Oct  9 23:50:11 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 23:50:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nina.~ - Fri Oct  9 23:51:53 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Would you like me to teach them. . .? - Fri Oct  9 23:53:36 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Water? Yo. Maybe we can share some techs sometime. - Fri Oct  9 23:54:27 2015
<br><br><font color=teal>*Yoshiko(BigBootyJudy) says: Sure, I guess. . . - Fri Oct  9 23:55:18 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: Heh, coo'. - Fri Oct  9 23:57:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I need to see what you are capable of kid. - Sat Oct 10 00:01:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I know you are adept at genjutsu as I have seen you use it. - Sat Oct 10 00:01:16 2015
<br><br><font color=yellow>*Nina(Ninasky115) nodded her head at the Mizukage, then looked over at Yoshiko. "I suppose we're in a team together then? It'd make the most logical sense..."* - Sat Oct 10 00:01:16 2015
