<br><font color=teal>*Lera(Bailey42) says: I love you too...always. - Sat Oct  3 12:53:07 2015
<br><br><font color=yellow>*Lera(Bailey42) held onto his hand tightly and moving her body closer till, they were squeezed together tightly.

"I missed you too..."* - Sat Oct  3 12:56:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sat Oct  3 12:58:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: We...we can get it fixed! - Sat Oct  3 12:59:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: H-Huh? - Sat Oct  3 12:59:05 2015
<br><br><font color=teal>*Lera(Bailey42) says: Your eye, I bet someone could do it - Sat Oct  3 12:59:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Really..? Who? - Sat Oct  3 12:59:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...dunno. - Sat Oct  3 13:02:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: But we can try! - Sat Oct  3 13:02:30 2015
<br><br><font color=teal>*Lera(Bailey42) says: Maybe koeki-sama would be able to. - Sat Oct  3 13:03:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe. - Sat Oct  3 13:08:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But if Anyone asks... - Sat Oct  3 13:08:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It was injured in a training accident, alright? - Sat Oct  3 13:08:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay... - Sat Oct  3 13:09:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What...Should we do now? - Sat Oct  3 13:10:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...don't know. - Sat Oct  3 13:10:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thats...? - Sat Oct  3 13:11:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A contact. - Sat Oct  3 13:12:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mind helping me remove my bandages? - Sat Oct  3 13:12:44 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* - Sat Oct  3 13:13:36 2015
<br><br><font color=yellow>*Lera(Bailey42) started to unwind the bandages around his face, she was sure for a shock when she saw his eye.* - Sat Oct  3 13:14:27 2015
<br><br><font color=yellow>*Lera(Bailey42) looked closely into his eyes, she'd seen eyes like that before; though it didn't scare her.

"No...I could never be scared of you."* - Sat Oct  3 13:21:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh*....You really scared me... - Sat Oct  3 13:23:50 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm...Sorry. - Sat Oct  3 13:24:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: I know...its okay...but please don't scare me like that again... - Sat Oct  3 13:25:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm too young to have a heart attack - Sat Oct  3 13:25:32 2015
<br><br><font color=yellow>*Lera(Bailey42) turned to look at Erebus, glancing him up and down. She figured she should probably hate the guy for killing Jin, but she found that she honestly just didn't care anymore. Seisuke was the only thing that mattered.

"Hello."* - Sat Oct  3 13:34:56 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: How has your day been thus far? - Sat Oct  3 13:35:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: .....Oh not so bad. had a bit of a shock but its fine. - Sat Oct  3 13:36:38 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: He's different. Funny, he doesn't stink anymore. Did he have a abth? - Sat Oct  3 13:37:29 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I see, I see. - Sat Oct  3 13:40:03 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: I came to talk business with you, Seisuke.. - Sat Oct  3 13:40:03 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: But if you're busy with foreplay, I can wait. - Sat Oct  3 13:40:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Lera, would you mind if I return in a bit? - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: In public? Nah, we do that in private. - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: And...sure, just be careful okay? - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Without a doubt. - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: If she wishes to tag along, I don't mind. - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's fine. - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: Very wel. - Sat Oct  3 13:40:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hey, Love. - Sat Oct  3 14:27:50 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey~ Business is over? - Sat Oct  3 14:28:41 2015
